Lambda,ReactionCoordinate,Temperature,WorkerID,MaxDev,MaxJump,MinEnergy,Valid,aveF,avePsi,dXTangent,f_dV_0,postT,preT,stdF
0,0,200,0,8.83976e-05,8.83976e-05,-2828.38,1,0.0492686,1,2.93077e-15,2809.38,213.951,204.223,0.0435431
0.2,0,200,0,0.00710302,0.00710302,-2828.4,1,0.0213746,1,1.43181e-15,0.253559,214.405,205.156,0.0438037
0.4,0,200,0,0.0143578,0.0143578,-2828.43,1,0.0147973,1,1.98029e-15,0.15491,215.521,206.267,0.0449091
0.6,0,200,0,0.0219542,0.0219542,-2828.47,1,0.0113597,1,4.48167e-15,0.0542456,216.711,207.429,0.0466387
0.8,0,200,0,0.0301408,0.0301408,-2828.52,1,0.011152,1,5.021e-15,-0.0649068,217.987,208.647,0.048933
1,0,200,0,0.0395104,0.0395104,-2828.58,1,0.0138786,1,5.00483e-15,-2809.1,219.366,209.953,0.051842
0,0.5,200,0,0.000114261,0.000114261,-2828.11,1,-0.00216838,0.929871,2.38644e-15,2809.19,213.042,203.759,0.0168242
0.2,0.5,200,0,0.0158251,0.0158251,-2828.12,1,-0.0253074,0.920664,4.78809e-15,0.236991,214.092,204.764,0.0153791
0.4,0.5,200,0,0.0325052,0.0325052,-2828.15,1,-0.0465111,0.911305,5.03596e-15,0.137231,215.231,205.831,0.0143041
0.6,0.5,200,0,0.0509204,0.0509204,-2828.18,1,-0.0660697,0.901285,2.24437e-14,0.0372523,216.465,206.967,0.0134738
0.8,0.5,200,0,0.075265,0.075265,-2828.22,1,-0.0892362,0.889675,1.20241e-15,-0.0791532,217.801,208.184,0.0122258
1,0.5,200,0,0.107259,0.107259,-2828.27,1,-0.145293,0.872643,2.68937e-15,-2808.8,219.261,209.512,0.0113809
